"Type","Data","Note"
"DOMAIN","138.124.183.79.sslip.io","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","7-zip.cfd","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","7-zip.day","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","advancedipscannerapp.com","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","advanced-ip-scanner.cfd","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","advanced-ip-scanner.link","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","aimp.day","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","aimp.pm","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","asana.tel","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","asana.wf","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","autodesk.pm","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","blackrock.re","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","blackrock.wf","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","cdn1102.com","FIN7 maliciuos msix download domain from @sekoia_io team"
"DOMAIN","cdn1124.net","FIN7 maliciuos msix download domain from @sekoia_io team"
"DOMAIN","cdn1168.net","FIN7 maliciuos msix download domain from @sekoia_io team"
"DOMAIN","cdn1701.com","FIN7 maliciuos msix download domain from @sekoia_io team"
"DOMAIN","cdn1702.click","FIN7 maliciuos msix download domain from @sekoia_io team"
"DOMAIN","cdn1704.com","FIN7 maliciuos msix download domain from @sekoia_io team"
"DOMAIN","cdn2525.com","FIN7 maliciuos msix download domain from @sekoia_io team"
"DOMAIN","cdn25.space","FIN7 maliciuos msix download domain from @sekoia_io team"
"DOMAIN","cdn27.space","FIN7 maliciuos msix download domain from @sekoia_io team"
"DOMAIN","cdn30.space","FIN7 maliciuos msix download domain from @sekoia_io team"
"DOMAIN","cdn31.space","FIN7 maliciuos msix download domain from @sekoia_io team"
"DOMAIN","cdn32.space","FIN7 maliciuos msix download domain from @sekoia_io team"
"DOMAIN","cdn33.space","FIN7 maliciuos msix download domain from @sekoia_io team"
"DOMAIN","cdn34.space","FIN7 maliciuos msix download domain from @sekoia_io team"
"DOMAIN","cdn35.space","FIN7 maliciuos msix download domain from @sekoia_io team"
"DOMAIN","cdn36.space","FIN7 maliciuos msix download domain from @sekoia_io team"
"DOMAIN","cdn37.space","FIN7 maliciuos msix download domain from @sekoia_io team"
"DOMAIN","cdn38.space","FIN7 maliciuos msix download domain from @sekoia_io team"
"DOMAIN","cdn40.click","FIN7 maliciuos msix download domain from @sekoia_io team"
"DOMAIN","cdn41.space","FIN7 maliciuos msix download domain from @sekoia_io team"
"DOMAIN","cdn42.space","FIN7 maliciuos msix download domain from @sekoia_io team"
"DOMAIN","cdn43.space","FIN7 maliciuos msix download domain from @sekoia_io team"
"DOMAIN","cdn44.space","FIN7 maliciuos msix download domain from @sekoia_io team"
"DOMAIN","cdn45.space","FIN7 maliciuos msix download domain from @sekoia_io team"
"DOMAIN","cdn46.space","FIN7 maliciuos msix download domain from @sekoia_io team"
"DOMAIN","cdn47.space","FIN7 maliciuos msix download domain from @sekoia_io team"
"DOMAIN","cdn48f.space","FIN7 maliciuos msix download domain from @sekoia_io team"
"DOMAIN","concur.cfd","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","concur.pm","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","concur.re","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","concur.skin","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","eprst251.boo","FIN7 maliciuos msix download domain from @sekoia_io team"
"DOMAIN","eprst281.boo","FIN7 maliciuos msix download domain from @sekoia_io team"
"DOMAIN","eprst431.boo","FIN7 maliciuos msix download domain from @sekoia_io team"
"DOMAIN","hidifypro.turkalphapro.ir","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","hubspot.pm","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","hubspot.wf","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","lexisnexis.day","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","meet-go.click","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","meet-go.day","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","meet-go.link","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","meet-go.org","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","msq2323232300000.online","FIN7 maliciuos msix download domain from @sekoia_io team"
"DOMAIN","pdfreader.link","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","quicken-install.com","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","static.cdn40.click","FIN7 maliciuos msix download domain from @sekoia_io team"
"DOMAIN","statistic.cdn47.space","FIN7 maliciuos msix download domain from @sekoia_io team"
"DOMAIN","storage.cdn48f.space","FIN7 maliciuos msix download domain from @sekoia_io team"
"DOMAIN","vkontakte.in","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","wall-street-journal.link","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","workable.uk.com","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","wsj.pm","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","wsj.re","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","wsj.wales","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","wsj.wf","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","www.blackrock.wf","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","www.concur.pm","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","www.concur.re","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","wwwlegals.com","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","www.wsj.re","FIN7 malicious phishing site from @sekoia_io team"
"DOMAIN","www.wsj.wf","FIN7 malicious phishing site from @sekoia_io team"
"IPV4","103.113.70.134","FIN7 C2 IP from @sekoia_io team"
"IPV4","103.113.70.142","FIN7 C2 IP from @sekoia_io team"
"IPV4","103.113.70.68","FIN7 C2 IP from @sekoia_io team"
"IPV4","103.35.191.28","FIN7 C2 IP from @sekoia_io team"
"IPV4","103.35.191.53","FIN7 C2 IP from @sekoia_io team"
"IPV4","103.35.191.56","FIN7 C2 IP from @sekoia_io team"
"IPV4","103.35.191.76","FIN7 C2 IP from @sekoia_io team"
"IPV4","109.107.170.126","VT collection -  FIN7 Uses Google Ads to Deliver Malware"
"IPV4","138.124.180.85","FIN7 C2 IP from @sekoia_io team"
"IPV4","138.124.183.175","FIN7 C2 IP from @sekoia_io team"
"IPV4","138.124.183.176","FIN7 C2 IP from @sekoia_io team"
"IPV4","138.124.183.79","FIN7 C2 IP from @sekoia_io team"
"IPV4","138.124.183.95","FIN7 C2 IP from @sekoia_io team"
"IPV4","138.124.184.64","FIN7 C2 IP from @sekoia_io team"
"IPV4","141.98.168.106","FIN7 C2 IP from @sekoia_io team"
"IPV4","141.98.168.16","FIN7 C2 IP from @sekoia_io team"
"IPV4","176.120.75.247","FIN7 C2 IP from @sekoia_io team"
"IPV4","185.174.102.62","NetSupportManager RAT C2"
"IPV4","193.124.24.51","VT collection -  FIN7 Uses Google Ads to Deliver Malware"
"IPV4","193.233.206.23","VT collection -  FIN7 Uses Google Ads to Deliver Malware"
"IPV4","193.233.206.34","DiceLoader C2"
"IPV4","38.135.52.151","VT collection -  FIN7 Uses Google Ads to Deliver Malware"
"IPV4","45.152.113.251","FIN7 C2 IP from @sekoia_io team"
"IPV4","45.159.211.211","FIN7 C2 IP from @sekoia_io team"
"IPV4","45.66.249.112","DiceLoader C2"
"IPV4","45.89.53.223","FIN7 C2 IP from @sekoia_io team"
"IPV4","5.180.24.160","FIN7 C2 IP from @sekoia_io team"
"IPV4","5.8.63.140","NetSupportManager RAT C2"
"IPV4","86.104.72.154","FIN7 C2 IP from @sekoia_io team"
"IPV4","94.131.101.65","FIN7 C2 IP from @sekoia_io team"
"URL","https://138.124.180.84/files/advancedipscanner.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://138.124.184.247/files/blackrock.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://138.124.184.250/files/asana.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://25491742.fs1.hubspotusercontent-eu1.net/hubfs/25491742/%5BFIN7%5D%20Fin7%20Unveiled_%20A%20deep%20dive%20into%20notorious%20cybercrime%20gang.pdf","high-level FIN7 analysis"
"URL","https://blog.sekoia.io/unveiling-the-intricacies-of-diceloader/","DiceLoader analysis"
"URL","https://cdn1124.net/files/asana.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://cdn1124.net/files/googlemeet.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://cdn1124.net/files/sapconcur.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://cdn1124.net/files/wsj.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://cdn25.space/files/airtable-x64.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://cdn25.space/files/anyconnect-win.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://cdn25.space/files/bloombergterminal-x64.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://cdn25.space/files/npp.installer.x64.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://cdn30.space/files/quicken.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://cdn32.space/files/aimp.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://cdn33.space/files/adobe_protected_pdf.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://cdn34.space/files/workday.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://cdn37.space/files/webex.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://cdn37.space/files/winscp-6.3.2-setup.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://cdn40.click/files/asana.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://cdn40.click/files/googlemeet.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://cdn40.click/files/sapconcur.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://cdn40.click/files/wsj.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://cdn41.space/files/asana.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://cdn41.space/files/autodeskfusion.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://cdn41.space/files/blackrock.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://cdn41.space/files/cnn.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://cdn41.space/files/googlemeet.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://cdn41.space/files/hubspot.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://cdn41.space/files/sapconcur.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://cdn41.space/files/wsj.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://cdn42.space/files/vkontakte.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://cdn43.space/files/advancedipscanner.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://cdn45.space/files/document.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://cdn46.space/files/asana.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://cdn47.space/files/7z.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://cdn47.space/files/aimp.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://eprst251.boo/files/asana.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://eprst251.boo/files/googlemeet.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://eprst251.boo/files/sapconcur.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://eprst251.boo/files/wsj.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://eprst281.boo/files/blackrock.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://eprst281.boo/files/lexisnexis.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://eprst431.boo/files/advancedipscanner.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://gist.github.com/qbourgue/62ceee8edf1159452778a8750dd43116","GIST ""Malicious websites impersonating legitimate software"" (FIN7 campaign) by @sekoia_io team"
"URL","https://msq2323232300000.online/files/anydesk.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://msq2323232300000.online/files/ciscosmartsoftware.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://msq2323232300000.online/files/goto_4.6.5.0_x64.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://msq2323232300000.online/files/npp.installer.x64.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://msq2323232300000.online/files/pgadmin4.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://msq2323232300000.online/files/steepwriter_4.0.4.0_x64.msix","FIN7 maliciuos msix download URL from @sekoia_io team"
"URL","https://www.esentire.com/blog/fin7-uses-trusted-brands-and-sponsored-google-ads-to-distribute-msix-payloads","recent FIN7 msix malvertising campagin analysis"
