Type,Data,Note
"URL","https://www.comparetv.com.au/redirectlink?URL=https%3A%2F%2F4sg37q98yo.live%2F","Phishing Link with redirects"
"URL","https://www.comparetv.com.au/redirectlink?URL=https%3A%2F%2Fambyjaptto.live%2F","Phishing Link with redirects"
"URL","https://34twv9kwbp.live/DOC/shared=geaxWYOIfr5vu2n3i9N6dygRsFJPUhlGDTwcMQo4mzHkE8Z7qLbVSjt0KXpCAB1&select=geaxWYOIfr5vu2n3i9N6dygRsFJPUhlGDTwcMQo4mzHkE8Z7qLbVSjt0KXpCAB1","Shared Document Cloud, which leads to M365 Login Page"
"URL","https://7m1whkkk7f.live/DOC/shared=geaxWYOIfr5vu2n3i9N6dygRsFJPUhlGDTwcMQo4mzHkE8Z7qLbVSjt0KXpCAB1&select=geaxWYOIfr5vu2n3i9N6dygRsFJPUhlGDTwcMQo4mzHkE8Z7qLbVSjt0KXpCAB1","Shared Document Cloud, which leads to M365 Login Page"
"URL","https://7m1whkkk7f.live/DOC/mic/?view=XbO6Y2eZ4I0GFCWXSQhPTzuydxctVqwgBLlRN7jE1m3UJrapkfsi589MvAnHKDo","M365 Login Page"
"URL","https://7m1whkkk7f.live/DOC/mic/?view=r5DVy9htaFdGlkz61NRj8mHBMwXn2ILrTSq3cpZPegEWAK0CxfsOiYUo4vJQu7b","M365 Login Page"
"URL","https://34twv9kwbp.live/DOC/mic/?view=e0aehsdfPvL8xruDHjqpwz1KnUbyWEQOtIJAVm97Fg6oS2Bl3NCkYZ5iGMR4XcT","M365 Login Page"
"URL","https://4sg37q98yo.live/","Used for redirection to Phishing sites"
"URL","https://ambyjaptto.live/","Used for redirection to Phishing sites"
"DOMAIN","comparetv.com.au","Legit website containing a redirection vulnerability"
"DOMAIN","34twv9kwbp.live","Domain hosting Phishing Sites"
"DOMAIN","7m1whkkk7f.live","Domain hosting Phishing Sites"
"DOMAIN","3ojjyfxdhi.live","Domain hosting Phishing Sites"
"DOMAIN","4sg37q98yo.live","Used for redirection to Phishing sites"
"DOMAIN","ambyjaptto.live","Used for redirection to Phishing sites"
"IPV4","185.192.71.57","Used for malicious Logins after phishing (Express VPN)"
"IPV4","85.203.46.213","Used for malicious Logins after phishing (Express VPN)"
"IPV4","85.203.46.65","Used for malicious Logins after phishing (Express VPN)"
