Type,Data,Note
REGISTRY,HKLM:\SOFTWARE\WOW6432Node\HF8QWZOjij\\HpiV5H8wmD,"Powershell Code containing Base64"
REGISTRY,HKLM:\SOFTWARE\WOW6432Node\HF8QWZOjij\194956,"List of IP Adresses"
REGISTRY,HKLM:\SOFTWARE\WOW6432Node\HF8QWZOjij\2177774,"Mainly Base64"
REGISTRY,HKLM:\SOFTWARE\WOW6432Node\HF8QWZOjij\0h4fdvG5JS,"Binary"
FILENAME,trkp.png,"Referenced by registry value"
IPV4,194.230.164.82,
IPV4,5.61.40.95,
IPV4,6.217.158.104,
IPV4,37.252.10.66,
IPV4,50.73.90.247,
IPV4,91.247.36.14,
IPV4,185.243.114.53,
IPV4,117.154.3.69,
IPV4,92.74.175.176,
IPV4,90.24.161.242,
IPV4,91.247.36.12,
IPV4,135.214.17.72,
IPV4,129.81.219.198,
IPV4,237.55.14.3,
IPV4,138.146.94.216,
IPV4,5.61.48.156,
IPV4,139.109.150.141,
IPV4,222.209.83.108,
IPV4,181.49.133.130,
IPV4,2.58.80.150,
IPV4,228.231.172.223,
IPV4,157.79.4.116,
IPV4,194.32.180.137,
IPV4,34.90.74.216,
IPV4,71.143.115.206,
IPV4,48.188.122.31,
IPV4,37.1.221.156,
IPV4,169.99.116.131,
IPV4,37.252.10.66,
IPV4,56.94.90.150,
IPV4,23.122.87.39,
IPV4,3.128.83.132,
IPV4,2.196.217.25,
IPV4,91.76.130.1,
IPV4,5.61.42.103,
IPV4,134.130.64.227,
IPV4,74.48.44.26,
IPV4,177.130.50.69,
IPV4,161.140.184.142,
IPV4,169.193.163.92,
IPV4,98.77.1.176,
IPV4,1.88.24.27,
IPV4,141.67.22.20,
IPV4,48.232.9.36,
IPV4,126.244.151.88,
IPV4,5.61.48.155,
IPV4,126.130.32.37,
IPV4,7.130.244.4,
IPV4,37.252.10.66,
IPV4,50.73.90.247,
IPV4,91.247.36.14,
IPV4,117.154.3.69,
IPV4,145.107.227.234,
IPV4,5.61.42.111,
IPV4,71.135.129.131,
IPV4,37.252.8.85,
IPV4,44.72.104.31,
IPV4,243.100.207.199,
IPV4,76.31.169.48,
IPV4,185.5.248.177,
IPV4,192.64.235.191,
IPV4,13.158.242.227,
IPV4,196.82.121.186,
IPV4,194.230.164.82,
IPV4,108.53.115.17,
IPV4,25.168.128.210,
IPV4,236.75.68.27,
IPV4,25.123.94.147,
IPV4,5.61.42.116,
IPV4,23.88.229.39,
IPV4,160.48.20.1,
IPV4,170.14.64.133,
IPV4,91.247.36.13,
IPV4,20.56.162.154,
