Type,Data,Note
"IPV4","176.67.56.94","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","149.135.101.20","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","41.86.42.158","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","182.191.92.203","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","82.41.63.217","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","45.9.20.200","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","32.221.231.1","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","180.233.150.134","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","165.255.54.11","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","67.69.166.79","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","105.184.195.32","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","94.140.8.84","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","31.215.23.29","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","31.215.185.99","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","70.45.27.254","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","190.73.3.148","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","68.204.7.158","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","69.14.172.24","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","37.210.157.12","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","217.164.115.166","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","76.25.142.196","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","86.98.149.190","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","136.143.11.232","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","96.21.251.127","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","73.59.201.174","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","2.50.41.69","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","176.146.15.140","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","106.51.48.170","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","103.123.225.38","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","209.210.95.228","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","74.15.2.252","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","71.74.12.34","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","120.150.218.241","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","72.252.201.34","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","70.163.1.219","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","39.44.150.120","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","173.26.188.246","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","73.136.32.202","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","193.251.59.245","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","86.178.220.77","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","86.216.184.108","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","39.49.26.34","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","70.50.147.95","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","217.128.93.27","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","78.164.40.62","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","188.247.78.23","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","78.87.41.5","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","220.255.25.1","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","31.215.142.105","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","37.186.54.25","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","45.46.53.140","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","24.222.20.254","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","72.66.116.235","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","65.100.174.110","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","92.177.45.46","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","197.89.8.230","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","83.110.218.30","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","128.106.122.39","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","187.191.33.158","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","38.70.253.226","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","162.210.220.137","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","41.230.62.211","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
"IPV4","67.209.195.198","IP encoded in HKCU:\SOFTWARE\Onoiqpzsovsaxm registry key"
